SMILES_c,t_half_ms,SMILES_o,
CC12SC(C3=CC=CC=C3)=NC1=C4C=C5C(C6=CC=CC=C65)=CC4=C7C(C)2SC(C8=CC=CC=C8)=N7,9.70E+10,CC1=C(N=C(C2=CC=CC=C2)S1)C3=C(C4=C(C)SC(C5=CC=CC=C5)=N4)C=C(C6=CC=CC=C67)C7=C3,
C12=C3C=CSC3C4SC=CC4=C1C5=C(C=C2)[CH+]C=C5,3.30E-01,C1(C2=CSC=C2)=C(C3=C(C=C1)[CH+]C=C3)C4=CSC=C4,备注：oB97X-D
CC12C=CC1=C3C=CC3=C4N2C=CS4,9.40E+26,CC1=C(C=C1)C2=C(C3=NC=CS3)C=C2,备注：oB97X-D
CC12C=CC(OC)=CC1=CC=C3N2C=CC=C3,8.26E-05,CC1=C(/C=C\C2=NC=CC=C2)C=C(OC)C=C1,备注：oB97X-D
CC1(C=CC=C2)C2=CC=C3SC=CN31,6.02E-03,CC(C=CC=C1)=C1/C=C\C2=NC=CS2,备注：oB97X-D
CC1(C)C2=CC=C3C=COC3N2C=C1,2371914750,CC1(C)C(/C=C\C2=COC=C2)=NC=C1,备注：oB97X-D
CC1(C)C2=CC=C3C4=C(N(C3N2C=C1)C)C=CC=C4,907033.8261,CC1(C)C(/C=C\C2=CN(C)C3=C2C=CC=C3)=NC=C1,备注：oB97X-D
CN1C2=C3C=CC3N(C=CS4)C4=C2C=C1,1191591663,CN1C=CC(C2=NC=CS2)=C1C3=CC=C3,备注：oB97X-D
FC1=C(F)C(F)=C(F)C2=C3C(C=CC=C3)N4C5=CC=CC=C5SC4=C21,3.22E-10,FC1=C(F)C(F)=C(F)C(C2=CC=CC=C2)=C1C3=NC4=CC=CC=C4S3,备注：oB97X-D
C[C@]12SC(C3=CC=CC=C3)=NC1=C(C4=C5C=CC=C4)C5=C6[C@]2(C)SC(C7=CC=CC=C7)=N6,7.44E+36,CC1=C(C(C2=C3C=CC=C2)=C3C4=C(SC(C5=CC=CC=C5)=N4)C)N=C(C6=CC=CC=C6)S1,备注：oB97X-D
